term	first_stage	exact_hit	lower_hit	is_illegible	dict_candidates	matcher_candidates	uuid_overlap	max_frequency
Albert Whitworth	unmatched	False	False	False	0	0	0	0
Alberta	mnt	True	True	False	10	34	10	458
Albion	mnt	True	True	False	38	46	35	36
Albuquerque	mnt	True	True	False	2	2	2	63
Albury	mnt	True	True	False	4	26	4	18
Alderman Jacob Ruben's office	unmatched	False	False	False	0	0	0	0
Alderson	mnt	True	True	False	2	60	2	10
Ale teten at Cornwall street	unmatched	False	False	False	0	0	0	0
Aledo	mnt	True	True	False	3	4	3	18
Alen	unmatched	False	False	True	0	0	0	0
Alexander	mnt	True	True	False	32	23	23	90
Alexandria	mnt	True	True	False	23	28	21	74
Alexnew Kal andris	unmatched	False	False	False	0	0	0	0
Alford	mnt	True	True	False	9	42	9	92
Alger Plage	unmatched	False	False	False	0	0	0	0
Algeria	mnt	True	True	False	1	5	1	16
Algoma area	transform	False	False	False	0	16	0	0
Algona	mnt	True	True	False	2	31	2	24
Alice	mnt	True	True	False	13	28	13	15
Alisut boarding house	unmatched	False	False	False	0	0	0	0
All St Anns Hospital	unmatched	False	False	False	0	0	0	0
Allants Ga.	unmatched	False	False	False	0	0	0	0
Allegany	mnt	True	True	False	9	14	6	274
Allegany county	mnt	False	True	False	1	9	0	1
Alleghany county	transform	False	False	False	0	17	0	0
Allegheny County	mnt	False	False	False	0	7	0	0
Allen	mnt	True	True	False	53	104	50	275
Allen County	transform	False	False	False	0	58	0	0
Allen county near Westminster	unmatched	False	False	False	0	0	0	0
Allerton	mnt	True	True	False	8	47	8	58
Alliance (Union depot)	unmatched	False	False	False	0	0	0	0
Alliance post office	unmatched	False	False	False	0	0	0	0
Almo LDS Ward Chapel	unmatched	False	False	False	0	0	0	0
Alpha	mnt	True	True	False	22	29	22	12
Alpha Chi Rho fraternity house	unmatched	False	False	False	0	0	0	0
Als.	mnt	True	True	False	1	1	1	1
Altadena	mnt	True	True	False	1	1	1	15
Alton	mnt	True	True	False	37	259	33	59
Alton Memorial hospital	mnt	False	False	False	0	1	0	0
Altona	mnt	True	True	False	14	70	14	10
Altoona	mnt	True	True	False	10	23	10	125
Altoona RD 3	transform	False	False	False	0	23	0	0
Alvert Park beach	unmatched	False	False	False	0	0	0	0
Amarillo	mnt	True	True	False	2	2	1	82
Amberley House	unmatched	False	False	False	0	0	0	0
Amboy	mnt	True	True	False	16	21	15	21
Amelia	mnt	True	True	False	13	22	12	75
American Exchange Hotel (site of incident)	unmatched	False	False	False	0	0	0	0
American Nursing Center	unmatched	False	False	False	0	0	0	0
American army hospital	unmatched	False	False	False	0	0	0	0
Americana Nursing Home	unmatched	False	False	False	0	0	0	0
Ames	mnt	True	True	False	15	15	15	21
Amexburg	unmatched	False	False	False	0	0	0	0
Amherst	mnt	True	True	False	22	22	21	118
Anaconda	mnt	True	True	False	5	5	5	25
Anaconda Mine shaft	unmatched	False	False	False	0	0	0	0
Anaheim	mnt	True	True	False	2	2	1	23
Ancust Ord	unmatched	False	False	False	0	0	0	0
Ander son county	spelling	False	False	False	0	49	0	0
Anderson	mnt	True	True	False	56	58	49	326
Anderson County	transform	False	False	False	0	14	0	0
Andover	mnt	True	True	False	22	26	22	128
Andrews homestead	unmatched	False	False	False	0	0	0	0
Angelica	mnt	True	True	False	4	7	4	12
Angell farm	unmatched	False	False	False	0	0	0	0
Angyll shire	unmatched	False	False	False	0	0	0	0
Ankel outside Bonn	unmatched	False	False	False	0	0	0	0
Ann Arbor	mnt	True	True	False	2	2	2	49
Anna	mnt	True	True	False	9	8	7	33
Annan dale	spelling	False	False	False	0	8	0	0
Annapolis	mnt	True	True	False	9	9	8	41
Annie M. Walter Hospital	unmatched	False	False	False	0	0	0	0
Anniston	mnt	True	True	False	4	2	2	53
Antigo	mnt	True	True	False	2	2	1	31
Antler	mnt	True	True	False	4	11	4	4
Apalachicola	mnt	True	True	False	2	1	1	15
Apartment at 1900 A Street NW	unmatched	False	False	False	0	0	0	0
Appelscha	unmatched	False	False	False	0	0	0	0
Apt. 2	unmatched	False	False	False	0	0	0	0
Apt. 326	unmatched	False	False	False	0	0	0	0
Aquinas Newman Center Chapel	unmatched	False	False	False	0	0	0	0
Arcade House	unmatched	False	False	False	0	0	0	0
Arcadia	mnt	True	True	False	34	45	33	23
Arcanum	mnt	True	True	False	1	2	1	11
Archdale	mnt	True	True	False	4	4	4	7
Ariz.	mnt	True	True	False	1	1	1	199
Arizona	mnt	True	True	False	9	8	6	4490
Arizona Highway 64	unmatched	False	False	False	0	0	0	0
Arizona cemetery	unmatched	False	False	False	0	0	0	0
Ark.	mnt	True	True	False	2	1	1	392
Arkansas	mnt	True	True	False	12	7	5	15437
Arlington	mnt	True	True	False	51	102	41	57
Arlington club	unmatched	False	False	False	0	0	0	0
Armmance County	unmatched	False	False	False	0	0	0	0
Armstrong County	mnt	True	True	False	1	1	0	2
Arnarsidu 6B	unmatched	False	False	False	0	0	0	0
Arnold	mnt	True	True	False	20	24	19	50
Arnold Station area	unmatched	False	False	False	0	0	0	0
Arnsigton	unmatched	False	False	False	0	0	0	0
Arrenton	spelling	False	False	False	0	16	0	0
Artin Heights	spelling	False	False	False	0	3	0	0
Asbury parsonage	unmatched	False	False	False	0	0	0	0
Ashburnham Lodge	unmatched	False	False	False	0	0	0	0
Ashford	mnt	True	True	False	16	20	14	115
Ashland	mnt	True	True	False	44	43	42	132
Ashland county	mnt	False	False	False	0	2	0	0
Ashmont	mnt	True	True	False	2	3	1	3
Ashtabula Co.	transform	False	False	False	0	1	0	0
Ashton	mnt	True	True	False	39	44	27	151
Ashton township	transform	False	False	False	0	17	0	0
Assam	mnt	True	True	False	1	3	1	3
Astoria	mnt	True	True	False	8	11	7	93
At Home Near Rock Spring	unmatched	False	False	False	0	0	0	0
At his residence	unmatched	False	False	False	0	0	0	0
At home in Kennerdell	unmatched	False	False	False	0	0	0	0
At the Squires	unmatched	False	False	False	0	0	0	0
Atchison	mnt	True	True	False	6	7	6	91
Atlanta	mnt	True	True	False	23	23	22	150
Atlantic Avenue Hotel	unmatched	False	False	False	0	0	0	0
Atlantic City	mnt	True	True	False	2	2	2	37
Atlinta	spelling	False	False	False	0	23	0	0
AuSable Forks	mnt	True	True	False	1	1	1	3
Auburn hospital	unmatched	False	False	False	0	0	0	0
Auckland	mnt	True	True	False	7	26	4	34
Auglaize Acres Nursing Home	unmatched	False	False	False	0	0	0	0
Auglaize County	transform	False	False	False	0	1	0	0
Augsburg	mnt	True	True	False	5	6	5	6
Augusta	mnt	True	True	False	30	29	27	217
Augusta NL	unmatched	False	False	False	0	0	0	0
Aurelia	mnt	True	True	False	2	4	2	10
Aurora	mnt	True	True	False	40	38	36	75
Aus.	mnt	True	True	False	1	1	1	1
Ausota	unmatched	False	False	False	0	0	0	0
Austin	mnt	True	True	False	38	48	35	99
Austin Messiah Evangelical Lutheran church	unmatched	False	False	False	0	0	0	0
Austintown	mnt	True	True	False	2	2	2	13
Australia	mnt	True	True	False	2	4	2	907
Avenue F	unmatched	False	False	False	0	0	0	0
Aviston	mnt	True	True	False	1	5	1	8
Avondale	mnt	True	True	False	26	31	25	11
Avora	spelling	False	False	False	0	31	0	0
Ayr	mnt	True	True	False	9	7	7	16
Azores	mnt	True	True	False	1	1	1	143
BLASE ELLISON at 220 South A Street	unmatched	False	False	False	0	0	0	0
BOYER TOWN R. D. 2	spelling	False	False	False	0	1	0	0
BST	unmatched	False	False	False	0	0	0	0
BURLINGTON	mnt	True	True	False	42	51	39	461
Ba Myers residence	unmatched	False	False	False	0	0	0	0
Ba varia	spelling	False	False	False	0	2	0	0
Bacona hotel	unmatched	False	False	False	0	0	0	0
Baden Germany	mnt	False	False	False	0	1	0	0
Baden near Vienna	unmatched	False	False	False	0	0	0	0
BadenWeller	unmatched	False	False	False	0	0	0	0
Badgertown	mnt	True	True	False	1	1	1	1
Bagdad Cemetery	unmatched	False	False	False	0	0	0	0
Bagewood	spelling	False	False	False	0	5	0	0
Baid District	unmatched	False	False	False	0	0	0	0
Bainbridge	mnt	True	True	False	19	19	17	18
Bakeley	spelling	False	False	False	0	11	0	0
Baldcrest Tvelock	unmatched	False	False	False	0	0	0	0
Baldwin	mnt	True	True	False	36	35	34	196
Baldwin township	transform	False	False	False	0	9	0	0
Baldwinsville	mnt	True	True	False	3	4	3	31
Baldwinville	mnt	True	True	False	3	4	3	6
Baldwinville Nursing Home	unmatched	False	False	False	0	0	0	0
Balsinger Rd.	transform	False	False	False	0	4	0	0
Baltic	mnt	True	True	False	6	7	6	7
Baltimore	mnt	True	True	False	20	16	14	1094
Baltimore and Ohio Railroad	unmatched	False	False	False	0	0	0	0
Baltimore dock	unmatched	False	False	False	0	0	0	0
Banbury Drive	unmatched	False	False	False	0	0	0	0
Bannock County	transform	False	False	False	0	6	0	0
Bannock County Coroner	unmatched	False	False	False	0	0	0	0
Bant Main Street road two miles east of the city	unmatched	False	False	False	0	0	0	0
Banville	spelling	False	False	False	0	52	0	0
Baptist Church	unmatched	False	False	False	0	0	0	0
Baptist church	unmatched	False	False	False	0	0	0	0
Baptist parsonage	unmatched	False	False	False	0	0	0	0
Bar & Grill at Baltic	unmatched	False	False	False	0	0	0	0
Bar Singbourne	unmatched	False	False	False	0	0	0	0
Bar cine	unmatched	False	False	False	0	0	0	0
Baraboo	mnt	True	True	False	1	1	1	35
Baranquilla	spelling	True	True	False	1	2	1	1
Barber Chapel Baptist Church	unmatched	False	False	False	0	0	0	0
Barbezleux	unmatched	False	False	False	0	0	0	0
Barclay Avenue	unmatched	False	False	False	0	0	0	0
Baring	mnt	True	True	False	3	26	3	7
Barna	mnt	False	True	False	1	32	1	1
Barnes Rest Home	unmatched	False	False	False	0	0	0	0
Barnet	mnt	True	True	False	2	49	2	128
Barr	mnt	True	True	False	10	10	9	8
Barr Township	transform	False	False	False	0	3	0	0
Barr township	transform	False	False	False	0	3	0	0
Barre	mnt	True	True	False	8	53	6	27
Barrivers	unmatched	False	False	False	0	0	0	0
Barron Chapel	unmatched	False	False	False	0	0	0	0
Barron County	transform	False	False	False	0	64	0	0
Bartholdi Hotel	unmatched	False	False	False	0	0	0	0
Bartholomew County in Columbus	unmatched	False	False	False	0	0	0	0
Bartholomews Church	unmatched	False	False	False	0	0	0	0
Base Hospital	unmatched	False	False	False	0	0	0	0
BashlineShrum clinic	unmatched	False	False	False	0	0	0	0
Basingstoke Canal	unmatched	False	False	False	0	0	0	0
Basswood St.	unmatched	False	False	False	0	0	0	0
Batavia	mnt	True	True	False	11	10	10	31
Bates farm	unmatched	False	False	False	0	0	0	0
Batesman	spelling	False	False	False	0	5	0	0
Bath	mnt	True	True	False	25	24	22	289
Bath County	mnt	False	False	False	0	1	0	0
Bathleet township	unmatched	False	False	False	0	0	0	0
Baton Rouge Living Center in Lima	unmatched	False	False	False	0	0	0	0
Battie rook	unmatched	False	False	False	0	0	0	0
Bavaria	mnt	True	True	False	3	3	3	160
Bavarian Alps	unmatched	False	False	False	0	0	0	0
Baxter Memorial Park	unmatched	False	False	False	0	0	0	0
Baxter Springs	mnt	True	True	False	1	1	1	20
Bay County	transform	False	False	False	0	3	0	0
Bay View Avenue	unmatched	False	False	False	0	0	0	0
Bayade Los Angeles beach	unmatched	False	False	False	0	0	0	0
Baylor County Hospital	mnt	True	True	False	1	1	1	2
Baylor Medical Center at Dallas	unmatched	False	False	False	0	0	0	0
Bayview freight yards	unmatched	False	False	False	0	0	0	0
Beach Boulevard and MacDonald Drive	unmatched	False	False	False	0	0	0	0
Beacon Springs	spelling	False	False	False	0	1	0	0
Beaconia	unmatched	False	False	False	0	0	0	0
Beals Mortuary	unmatched	False	False	False	0	0	0	0
Beans Cove	mnt	True	True	False	1	1	1	3
Bear Valley farm	unmatched	False	False	False	0	0	0	0
Beare Co.	spelling	False	False	False	0	22	0	0
Beaton	mnt	True	True	False	2	178	2	4
Beatrice	mnt	True	True	False	8	10	8	44
Beaufort	mnt	True	True	False	11	15	10	201
Beaumont	mnt	True	True	False	18	19	16	53
Beausejour	mnt	True	True	False	1	1	1	7
Beausejour General Hospital	unmatched	False	False	False	0	0	0	0
Beauvoir	mnt	True	True	False	1	1	1	1
Beaux Arts	unmatched	False	False	False	0	0	0	0
Beaver County	mnt	True	True	False	1	19	1	1
Beaver Township	transform	False	False	False	0	60	0	0
Beavercreek	mnt	True	True	False	3	24	3	9
Beavercreek Twp.	mnt	False	False	False	0	22	0	0
Beck hospital	unmatched	False	False	False	0	0	0	0
Bedach farm	unmatched	False	False	False	0	0	0	0
Bedford	mnt	True	True	False	43	72	35	464
Bedford County	mnt	False	False	False	0	36	0	0
Beidtown	spelling	False	False	False	0	1	0	0
Beil station	spelling	False	False	False	0	1	0	0
Belarus	mnt	True	True	False	1	1	1	25
Belfort	mnt	True	True	False	7	14	5	3
Bell County	mnt	False	False	False	0	1	0	0
Bellatro steel plant	unmatched	False	False	False	0	0	0	0
Bellbrook	mnt	True	True	False	2	3	2	11
Belle Plains	spelling	False	False	False	0	9	0	0
Belle River	mnt	True	True	False	5	7	5	6
Bellefonte	mnt	True	True	False	6	8	5	29
Belleview	mnt	True	True	False	17	23	13	7
Belleville	mnt	True	True	False	24	29	22	54
Bellevue	mnt	True	True	False	27	36	24	22
Bellfont e	unmatched	False	False	False	0	0	0	0
Bellmead	mnt	True	True	False	1	6	1	6
Bellwood	mnt	True	True	False	14	49	14	14
Bellwood Borough	transform	False	False	False	0	36	0	0
Belmont	mnt	True	True	False	52	73	49	380
Belmont County	mnt	False	False	False	0	21	0	0
Belmont avenue	unmatched	False	False	False	0	0	0	0
Beloit	mnt	True	True	False	8	15	7	45
Belor	spelling	False	False	False	0	2	0	0
Beltrees	mnt	True	True	False	1	1	1	2
Beltzhoover district	transform	False	False	False	0	1	0	0
Belview Nursing Home	unmatched	False	False	False	0	0	0	0
Ben Arris home	unmatched	False	False	False	0	0	0	0
Ben ton's plantation	unmatched	False	False	False	0	0	0	0
Benevon	unmatched	False	False	False	0	0	0	0
Benito	mnt	True	True	False	3	7	3	4
Benito Health Centre	unmatched	False	False	False	0	0	0	0
Benna Vista	unmatched	False	False	False	0	0	0	0
Benning road	unmatched	False	False	False	0	0	0	0
Bensalem Gardens	unmatched	False	False	False	0	0	0	0
Benthamagille	unmatched	False	False	False	0	0	0	0
Benton	mnt	True	True	False	88	224	80	260
Bentons main street	unmatched	False	False	False	0	0	0	0
Beone	spelling	False	False	False	0	66	0	0
Bercham	spelling	False	False	False	0	4	0	0
Berea County	spelling	False	False	False	0	14	0	0
Berkeley	mnt	True	True	False	24	26	19	219
Berkeley county	mnt	False	False	False	0	11	0	0
Berkeley home of Scotty Allan	unmatched	False	False	False	0	0	0	0
Berlin	mnt	True	True	False	53	64	44	97
Berlin Conn	mnt	False	False	False	0	1	0	0
Bernalillo	mnt	True	True	False	2	2	2	176
Berne	mnt	True	True	False	12	39	11	13
Bernice	mnt	True	True	False	8	14	8	11
Berry's Hole	unmatched	False	False	False	0	0	0	0
Bessemer City	mnt	True	True	False	1	1	1	14
Bethany Church	unmatched	False	False	False	0	0	0	0
Bethel Church	mnt	True	True	False	2	1	1	2
Bethesda Hospital	mnt	True	True	False	2	1	1	1
Bethlehem Chapel of the Cathedral of St. Peter and St. Paul	unmatched	False	False	False	0	0	0	0
Bethlehem Primitive church	unmatched	False	False	False	0	0	0	0
Bettie Creek	unmatched	False	False	False	0	0	0	0
Betuel	spelling	False	False	False	0	59	0	0
Beverley Farms	spelling	False	False	False	0	2	0	0
Beverley Hills Apts	unmatched	False	False	False	0	0	0	0
Beverly	mnt	True	True	False	22	28	21	56
Biachardville	spelling	False	False	False	0	1	0	0
Biblical House of God	unmatched	False	False	False	0	0	0	0
Big Tork	spelling	False	False	False	0	4	0	0
Biggs-Gridley Memorial Hospital	unmatched	False	False	False	0	0	0	0
Bilkton	spelling	False	False	False	0	5	0	0
Billings	mnt	True	True	False	9	14	8	42
Biltmore	mnt	True	True	False	6	5	4	3
Binya	mnt	True	True	False	1	7	1	1
Birdhurst rise	unmatched	False	False	False	0	0	0	0
Birdseye Route	unmatched	False	False	False	0	0	0	0
Birdsong	mnt	True	True	False	3	3	3	2
Birmingham	mnt	True	True	False	26	24	19	1606
Birr	mnt	True	True	False	2	2	2	4
Bishop MartyGÇÖs residence	unmatched	False	False	False	0	0	0	0
Bishop Nursing Home	unmatched	False	False	False	0	0	0	0
Bishop Randall Hospital	unmatched	False	False	False	0	0	0	0
Bishopgate Street Within	unmatched	False	False	False	0	0	0	0
Bitter Root stock farm	unmatched	False	False	False	0	0	0	0
Bittle boro	unmatched	False	False	False	0	0	0	0
Bizierville R. 1	unmatched	False	False	False	0	0	0	0
Black Range Hospital	unmatched	False	False	False	0	0	0	0
Black Star Coal Company mine	unmatched	False	False	False	0	0	0	0
Black water	mnt	False	True	False	2	22	2	2
Blackall	mnt	True	True	False	1	6	1	1
Blackbourton	spelling	False	False	False	0	1	0	0
Blackburn	mnt	True	True	False	17	15	13	709
Blackheath	mnt	True	True	False	2	7	2	45
Blackwell	mnt	True	True	False	18	26	17	21
Blackwirl district	unmatched	False	False	False	0	0	0	0
Bladen County	mnt	False	False	False	0	29	0	0
Blaine County Hospital	unmatched	False	False	False	0	0	0	0
Blair County	transform	False	False	False	0	19	0	0
Blair Memorial Hospital	mnt	True	True	False	1	1	1	1
Blanchardville	mnt	True	True	False	2	2	2	12
Blanchester	mnt	True	True	False	1	2	1	11
Bland County	transform	False	False	False	0	13	0	0
Bldg. 5. Cornwells Heights	unmatched	False	False	False	0	0	0	0
Bleak House	unmatched	False	False	False	0	0	0	0
Bleiswijkscheweg 10	unmatched	False	False	False	0	0	0	0
Blodgetts Mills	spelling	False	False	False	0	1	0	0
Bloom Township	transform	False	False	False	0	21	0	0
Bloomfield	mnt	True	True	False	45	56	43	25
Bloomington	mnt	True	True	False	29	26	25	64
Bloomington St.	unmatched	False	False	False	0	0	0	0
Bloomingville	mnt	True	True	False	2	1	1	2
Blue Earth County	mnt	False	False	False	0	1	0	0
Blue Hill Avenue building (headquarters)	unmatched	False	False	False	0	0	0	0
Blue Mounds	mnt	True	True	False	2	9	2	11
Bluefield	mnt	True	True	False	8	10	7	43
Bluefield Sanatorium	spelling	False	False	False	0	1	0	0
Bluejacket	mnt	True	True	False	1	2	1	6
Boardman	mnt	True	True	False	8	8	8	15
Boardman home	unmatched	False	False	False	0	0	0	0
Boca Raton	mnt	True	True	False	1	1	1	15
Bogle Coal Mine	unmatched	False	False	False	0	0	0	0
Bohemia	mnt	True	True	False	13	11	10	50
Bolivar	mnt	True	True	False	20	20	17	140
Bolivia	mnt	True	True	False	4	9	3	11
Bolsaman	unmatched	False	False	False	0	0	0	0
Bon Harbor hills	unmatched	False	False	False	0	0	0	0
Bone Star Route	unmatched	False	False	False	0	0	0	0
Bonidale	spelling	False	False	False	0	1	0	0
Bonn	mnt	True	True	False	3	3	3	7
Bonneville County	transform	False	False	False	0	13	0	0
Bonniecastle Lake	unmatched	False	False	False	0	0	0	0
Bontoc	mnt	False	False	False	0	2	0	0
Boom home	unmatched	False	False	False	0	0	0	0
Boone	mnt	True	True	False	48	66	46	181
Boone County farm near Ashland	unmatched	False	False	False	0	0	0	0
Bosham	mnt	True	True	False	1	14	1	28
Boskey dell	spelling	False	False	False	0	1	0	0
Boston	mnt	True	True	False	31	74	25	640
Boswell	mnt	True	True	False	6	18	6	14
Bourbanis	unmatched	False	False	False	0	0	0	0
Bowling Green	mnt	True	True	False	18	20	17	28
Box 100	unmatched	False	False	False	0	0	0	0
Box 131	unmatched	False	False	False	0	0	0	0
Box 15	unmatched	False	False	False	0	0	0	0
Box 1723	unmatched	False	False	False	0	0	0	0
Box 210	unmatched	False	False	False	0	0	0	0
Box 28	unmatched	False	False	False	0	0	0	0
Box 319	unmatched	False	False	False	0	0	0	0
Box 356	unmatched	False	False	False	0	0	0	0
Box 530	unmatched	False	False	False	0	0	0	0
Box 894	unmatched	False	False	False	0	0	0	0
Boxelder	mnt	True	True	False	4	7	4	2
Bozeman	mnt	True	True	False	1	3	1	27
Bradenton	mnt	True	True	False	1	1	1	29
Bradford County	mnt	False	False	False	0	24	0	0
Brandon	mnt	True	True	False	34	55	32	31
Branwell Park	unmatched	False	False	False	0	0	0	0
Brauerville church	unmatched	False	False	False	0	0	0	0
Braunsport	unmatched	False	False	False	0	0	0	0
Bray Sur Somme	unmatched	False	False	False	0	0	0	0
Brazoria	mnt	True	True	False	2	2	2	166
Brazoria County	transform	False	False	False	0	1	0	0
Brazos County	mnt	False	False	False	0	2	0	0
Brazos River near Waco	unmatched	False	False	False	0	0	0	0
Breadstadt	unmatched	False	False	False	0	0	0	0
Breckenridge Lutheran Church	unmatched	False	False	False	0	0	0	0
Brefiton	unmatched	False	False	False	0	0	0	0
Bremerton	mnt	True	True	False	2	7	2	61
Brethren parsonage	unmatched	False	False	False	0	0	0	0
Briarcliffe	spelling	False	False	False	0	9	0	0
Bridge	mnt	True	True	False	4	40	3	82
Bridge of the Americas	unmatched	False	False	False	0	0	0	0
Bridgeport	mnt	True	True	False	37	37	35	82
Bridges community (home of her daughter)	unmatched	False	False	False	0	0	0	0
Bridgeton	mnt	True	True	False	11	23	11	27
Bridgeville	mnt	True	True	False	9	27	9	14
Brigham City	mnt	True	True	False	4	2	2	37
Bright Wood Methodist Church	unmatched	False	False	False	0	0	0	0
Brighton	mnt	True	True	False	42	50	40	298
Brightwood family residence	unmatched	False	False	False	0	0	0	0
Brisbane	mnt	True	True	False	4	4	4	10
Bristol	mnt	True	True	False	41	53	39	1188
Britain Avenue	mnt	False	True	False	1	1	1	1
British Columbia	mnt	True	True	False	1	1	1	254
Broadwater County Health Care Center	unmatched	False	False	False	0	0	0	0
Broderick	pa_name	True	True	False	1	1	0	5
Brodwell crossing	unmatched	False	False	False	0	0	0	0
Broken Hill	mnt	True	True	False	2	3	2	9
Bromide	mnt	True	True	False	1	1	1	8
Bronx County	mnt	True	True	False	1	2	0	3
Brookfield	mnt	True	True	False	29	42	26	23
Brookfield village pond	unmatched	False	False	False	0	0	0	0
Brookhaven	mnt	True	True	False	15	17	15	20
Brookline	mnt	True	True	False	12	12	9	48
Brooklyn	mnt	True	True	False	47	45	35	964
Brooklyn Park	mnt	True	True	False	3	3	2	10
Brookville	mnt	True	True	False	15	24	15	38
Broomsword	unmatched	False	False	False	0	0	0	0
Brotman Medical Center	unmatched	False	False	False	0	0	0	0
Brown County	transform	True	True	False	1	27	0	1
Brown Road	unmatched	False	False	False	0	0	0	0
Brown home	unmatched	False	False	False	0	0	0	0
Browning	mnt	True	True	False	12	15	12	8
Browns town	spelling	False	True	False	1	14	1	1
Brownstown	mnt	True	True	False	12	28	12	15
Brownsville	mnt	True	True	False	32	42	30	33
Brownsville Community Health Center	unmatched	False	False	False	0	0	0	0
Buaale	spelling	False	False	False	0	1	0	0
Buchanan Mortuary	unmatched	False	False	False	0	0	0	0
Buckingham shire	spelling	False	False	False	0	2	0	0
Buckmantown	unmatched	False	False	False	0	0	0	0
Buffalo Center	mnt	True	True	False	1	1	1	17
Buffalo Emergency hospital	unmatched	False	False	False	0	0	0	0
Bunker Hill Road crossing near Brighton	unmatched	False	False	False	0	0	0	0
Bunnhoy place shed on farm	unmatched	False	False	False	0	0	0	0
Burdsall Road	unmatched	False	False	False	0	0	0	0
Bureau	mnt	True	True	False	4	5	4	215
Bureau County	mnt	False	False	False	0	2	0	0
Burke county	transform	False	False	False	0	12	0	0
Burkes Garden	mnt	True	True	False	2	2	1	7
Burkhart	mnt	True	True	False	4	7	4	2
Burleson County	transform	False	False	False	0	3	0	0
Burley	mnt	True	True	False	10	59	7	25
Burlingame	mnt	True	True	False	5	5	5	18
Burlington	mnt	True	True	False	42	51	39	461
Burlington bridge near Rome	unmatched	False	False	False	0	0	0	0
Burmah	mnt	True	True	False	3	3	2	2
Burnettsville	mnt	True	True	False	1	2	1	7
Burnham	mnt	True	True	False	18	19	10	27
Burns morgue	unmatched	False	False	False	0	0	0	0
Burns road	unmatched	False	False	False	0	0	0	0
Bushlake	unmatched	False	False	False	0	0	0	0
Butler	mnt	True	True	False	64	81	60	437
Butler Pa.	mnt	False	False	False	0	1	0	0
Butte	mnt	True	True	False	16	26	11	174
Butte City Jail	unmatched	False	False	False	0	0	0	0
Buzz Street	unmatched	False	False	False	0	0	0	0
Byron Township	transform	False	False	False	0	16	0	0
C.	unmatched	False	False	False	0	0	0	0
C. W. Young company's parlors	unmatched	False	False	False	0	0	0	0
CA	mnt	True	True	False	1	23	1	2968
CASHCHEEK ST. BENEDICT CHURCH	unmatched	False	False	False	0	0	0	0
CENTRAL ISLIP	mnt	True	True	False	1	1	1	12
CFB Suffield	unmatched	False	False	False	0	0	0	0
CHI St. Lukes Brazosport	unmatched	False	False	False	0	0	0	0
CINCINNATI	mnt	True	True	False	9	9	9	293
CITY OF MEXICO	mnt	False	True	False	1	3	1	1
CO	mnt	True	True	False	1	9	1	43
CP.	unmatched	False	False	False	0	0	0	0
Cabarrtts Memorial hospital	unmatched	False	False	False	0	0	0	0
Cabarrus County	mnt	False	False	False	0	1	0	0
Cabinville	spelling	False	False	False	0	1	0	0
Cadia Healthcare	unmatched	False	False	False	0	0	0	0
Cadial	spelling	False	False	False	0	1	0	0
Cadossa	spelling	False	False	False	0	2	0	0
Caidad	spelling	False	False	False	0	1	0	0
Cairo	mnt	True	True	False	23	33	23	25
Cajonville	unmatched	False	False	False	0	0	0	0
Cal.	mnt	True	True	False	1	23	1	3
Calder Bank	spelling	False	False	False	0	1	0	0
Caldwell	mnt	True	True	False	31	48	30	169
Caldwell R. D. 1.	unmatched	False	False	False	0	0	0	0
Caldwell R.D. 4	transform	False	False	False	0	48	0	0
Caledonia	mnt	True	True	False	25	27	24	197
Calh econ	unmatched	False	False	False	0	0	0	0
Calhan area	transform	False	False	False	0	5	0	0
Calhoun County	mnt	True	True	False	1	1	1	1
Calif.	mnt	True	True	False	1	23	1	935
California	mnt	True	True	False	29	24	15	21470
California Nursing and Rehab	unmatched	False	False	False	0	0	0	0
Callaway residence	unmatched	False	False	False	0	0	0	0
Calo.	spelling	False	False	False	0	1	0	0
Calumet City	mnt	True	True	False	1	1	1	13
Calveston County Hospital	unmatched	False	False	False	0	0	0	0
Camarillo	mnt	True	True	False	1	2	1	22
Camberwell	mnt	True	True	False	3	4	2	685
Cambria County	mnt	False	False	False	0	6	0	0
Cambria Security	unmatched	False	False	False	0	0	0	0
Cambridge	mnt	True	True	False	35	42	33	341
Cambridge City	mnt	True	True	False	1	1	1	19
Cambridge Springs	mnt	True	True	False	1	1	1	15
Camden	mnt	True	True	False	39	46	34	280
Camden County	transform	False	False	False	0	17	0	0
Camden East	mnt	True	True	False	1	1	1	6
Camdenton	mnt	True	True	False	1	2	1	8
Camino Militar	unmatched	False	False	False	0	0	0	0
Camp Grave	spelling	False	False	False	0	1	0	0
Camp Polk station hospital	unmatched	False	False	False	0	0	0	0
Camp White	unmatched	False	False	False	0	0	0	0
Campania	mnt	True	True	False	2	8	2	60
Campzn	unmatched	False	False	False	0	0	0	0
Canada	mnt	True	True	False	6	15	6	8313
Canal Zone	mnt	True	True	False	3	1	1	2
Canby	mnt	True	True	False	6	32	6	15
Canfield home	unmatched	False	False	False	0	0	0	0
Cannon Boulevard at Texas Street	unmatched	False	False	False	0	0	0	0
Cannons Mills Rd	spelling	False	False	False	0	2	0	0
Canton	mnt	True	True	False	47	118	40	78
Canton Zurich	unmatched	True	True	False	1	0	0	1
Canyon General Kaiser Foundation Hospital	unmatched	False	False	False	0	0	0	0
Capilla de San Antonio	unmatched	False	False	False	0	0	0	0
Capital hit Vancouver	unmatched	False	False	False	0	0	0	0
Capitol steps	unmatched	False	False	False	0	0	0	0
